"PELLID","OPEID","GAPSID","Name","State","Type & Control","Recipients","Awards"
"15919","2255600","4044","MARINELLO SCHOOL OF BEAUTY","CA","Proprietary","268","830074"
"16580","2338700","4218","MARINELLO SCHOOL OF BEAUTY","CA","Proprietary","96","225470"
"30944","3094400","4698","MARINELLO SCHOOL OF BEAUTY","CA","Proprietary","221","674786.5"
"34673","3467300","5014","MARINELLO SCHOOL OF BEAUTY","CA","Proprietary","392","1135690"
"12911","1291100","5769","MARINELLO SCHOOL OF BEAUTY","CA","Proprietary","105","282682"
"7476","747600","2945","MARINELLO SCHOOLS OF BEAUTY","CA","Proprietary","2611","7913698.0800000001"
"30749","3074900","4658","MARTINEZ ADULT EDUCATION","CA","Public 2 year","31","74812.880000000005"
"10474","1047400","3347","MARYMOUNT COLLEGE","CA","Private 2 Year","142","533540.43000000005"
"1220","122000","1148","MASTER'S COLLEGE AND SEMINARY","CA","Private 4 Year","271","866940"
"40493","4049300","5911","MAXINE WATERS EMPLOYMENT PREPARATION CENTER","CA","Public 2 year","44","127697"
"41156","4115600","6286","MAYFIELD COLLEGE","CA","Proprietary","65","185507"
"31133","3113300","4771","MCED CAREER COLLEGE","CA","Proprietary","834","2111765.25"
"11672","1167200","3460","MENDOCINO COMMUNITY COLLEGE","CA","Public 2 year","1017","2727320"
"1236","123600","1151","MENLO COLLEGE","CA","Private 4 Year","134","431410"
"1237","123700","1152","MERCED COLLEGE","CA","Public 2 year","4279","12033822.300000001"
"41158","4115800","5907","MERIDIAN INSTITUTE","CA","Proprietary","8","11184"
