"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"2128300","INSTITUTE FOR BUSINESS & TECHNOLOGY","SANTA CLARA","CA","Proprietary - 2 Year","2080711","587"
"2214800","ACADIANA TECHNICAL COLLEGE","LAFAYETTE","LA","Public - 2 Year","2077800","579"
"546702","SOWELA TECHNICAL COMMUNITY COLLEGE - MOR","JENNINGS","LA","Public - 2 Year","3470","2"
"2110800","CALIFORNIA COLLEGE SAN DIEGO","SAN DIEGO","CA","Proprietary - 4 Year","5276348","1418"
"732971","ITT TECHNICAL INSTITUTE","RANCHO CORDOVA","CA","Proprietary - 4 Year","6352868","1751"
"2117300","GREAT OAKS INSTITUTE OF TECHNOLOGY","CINCINNATI","OH","Public - 2 Year","737379","182"
"2203900","ERIE INSTITUTE OF TECHNOLOGY","ERIE","PA","Proprietary - 2 Year","899008","283"
"2110200","COLUMBIA COLLEGE","TARZANA","CA","Private - 4 Year","678625","180"
"528800","KIRKSVILLE AREA TECHNICAL CENTER","KIRKSVILLE","MO","Public - 2 Year","184118","46"
"2112300","RIDLEY LOWELL BUSINESS & TECH INST","NEW LONDON","CT","Proprietary - 2 Year","3395793","1066"
"560800","MAYNARD A. TRAVISS CAREER CENTER","LAKELAND","FL","Public - 2 Year","1143887","331"
"2180200","METRO BUSINESS COLLEGE","CAPE GIRARDEAU","MO","Proprietary - 2 Year","2117311","628"
"548812","LOUISIANA TECH COLG-FOLKES CAMPUS","JACKSON","LA","Public - 2 Year","160919","64"
"2513200","ORLANDO TECHNICAL CENTER","ORLANDO","FL","Public - 2 Year","1011388","296"
"2113600","AMERICAN INTERCONTINENTAL UNIVERSITY","HOFFMAN ESTATES","IL","Proprietary - 4 Year","55878468","15532"
"2214803","ACADIANA TECHNICAL COLLEGE - C.B. COREIL","VILLE PLATTE","LA","Public - 2 Year","500960","128"
"2117800","AVEDA INSTITUTE LAFAYETTE","LAFAYETTE","LA","Proprietary - 2 Year","399322","102"
"1292700","CENTRAL TECH NURSING PROGRAM","SYRACUSE","NY","Public - 2 Year","94557","24"
"2112700","NORTH HAVEN ACADEMY","NORTH HAVEN","CT","Proprietary - 2 Year","347486","106"
"2122000","NEW ENGLAND HAIR ACADEMY","MALDEN","MA","Proprietary - 2 Year","497402","157"
"2114200","JOHNSON COLLEGE","SCRANTON","PA","Private - 2 Year","975850","243"
"621401","BLESSING HOSPITAL - SCHOOL OF MEDICAL LA","QUINCY","IL","Private - 4 Year","18899","4"
"2113800","ROBERTO-VENN SCH OF LUTHIERY","PHOENIX","AZ","Proprietary - 2 Year","87759","28"
"2120700","SAN JOAQUIN VALLEY COLLEGE","VISALIA","CA","Proprietary - 2 Year","26536136","6494"
"2115100","BUTLER BUSINESS SCHOOL","BRIDGEPORT","CT","Proprietary - 2 Year","403498","153"
"2287100","LA BELLE BEAUTY SCHOOL","HIALEAH","FL","Proprietary - 2 Year","1032194","301"
"2149900","PAUL MITCHELL THE SCHOOL-JACKSONVILLE","JACKSONVILLE","FL","Proprietary - 2 Year","1141106","324"
"3018500","BENE'S INTERNATIONAL SCHOOL OF BEAUTY","NEW PORT RICHEY","FL","Proprietary - 2 Year","769823","241"
"2125500","CIRCLE IN THE SQUARE THEATRE SCHOOL","NEW YORK","NY","Private - 2 Year","76150","15"
"2127400","YORK TECHNICAL INSTITUTE","YORK","PA","Proprietary - 2 Year","6280135","1762"
"2120800","YORKTOWNE BUSINESS INSTITUTE, INC.","YORK","PA","Proprietary - 2 Year","763703","205"
"2117100","ART INSTITUTE OF HOUSTON","HOUSTON","TX","Proprietary - 4 Year","13783793","3969"
"2173900","ULSTER COUNTY BOCES PRACTICAL NRSG","PORT EWEN","NY","Public - 2 Year","256239","73"
"2159800","COSMETOLOGY CAREERS UNLTD - HIBBING","HIBBING","MN","Proprietary - 2 Year","171071","44"
"2227900","MITCHELL'S HAIR STYLING ACADEMY","GREENVILLE","NC","Proprietary - 2 Year","15116","4"
"3098300","PUTNAM CAREER & TECHNICAL CENTER","ELEANOR","WV","Public - 2 Year","262052","74"
"2128600","THE ART INSTITUTE OF CINCINNATI","CINCINNATI","OH","Proprietary - 2 Year","100713","26"
"966412","EMPIRE BEAUTY SCHOOL - EXTON","EXTON","PA","Proprietary - 2 Year","1134169","335"
"2079414","EMPIRE BEAUTY SCHOOL - LAUREL SPRINGS","LAUREL SPRINGS","NJ","Proprietary - 2 Year","1013844","315"
"2285100","HILLTOP BEAUTY SCHOOL","DALY CITY","CA","Proprietary - 2 Year","620502","158"
"2277500","HOUSE OF HEAVILIN OF BLUE SPRINGS","BLUE SPRINGS","MO","Proprietary - 2 Year","334263","90"
"2112200","GREAT LAKES INSTITUTE OF TECHNOLOGY","ERIE","PA","Proprietary - 2 Year","1818109","527"
"2119300","PA ACAD OF COSMETOLOGY ARTS & SCI","JOHNSTOWN","PA","Proprietary - 2 Year","346455","102"
"2189300","EMMA'S BEAUTY ACADEMY","MAYAGUEZ","PR","Proprietary - 2 Year","1431872","403"
"2116300","PUEBLO COMMUNITY COLLEGE","PUEBLO","CO","Public - 2 Year","14797792","4616"
"528900","WAYNESVILLE CAREER CENTER","WAYNESVILLE","MO","Public - 2 Year","179738","38"
"2124400","UNIVERSITY OF SPA & COSMETOLOGY ART","SPRINGFIELD","IL","Proprietary - 2 Year","537501","180"
"2119200","COURT REPORTING INSTITUTE OF DALLAS","DALLAS","TX","Proprietary - 2 Year","812259","315"
"2221300","MARINELLO SCHOOL OF BEAUTY","MORENO VALLEY","CA","Proprietary - 2 Year","1492762","383"
"2123200","AVEDA INSTITUTE","MINNEAPOLIS","MN","Proprietary - 2 Year","1193119","362"
"2131100","DU CRET SCHOOL OF THE ARTS","PLAINFIELD","NJ","Private - 2 Year","45214","14"
"2227800","MITCHELL'S HAIR STYLING ACADEMY","GOLDSBORO","NC","Proprietary - 2 Year","2886","1"
"2131600","PENNCO TECH","BLACKWOOD","NJ","Proprietary - 2 Year","2932843","806"
"2545200","CHIEF DULL KNIFE COLLEGE","LAME DEER","MT","Public - 2 Year","444778","114"
"3007200","DANCE THEATRE OF HARLEM","NEW YORK","NY","Private - 2 Year","9967","3"
